series,model,MAE,MSE,RMSE,MAPE,MASE
Albuquerque Cycles,AutoARIMA,17594.385964912282,309562417.4823023,17594.385964912282,1.7594385964912282e+16,0.5531233798660574
Albuquerque Cycles,LSTM,14210.921223958334,215174820.6180687,14668.838420886254,1.4210921223958334e+16,0.44675573186138823
Albuquerque Cycles,Naive,0.0,0.0,0.0,0.0,1.0
Ann Arbor Speed,AutoARIMA,30526.49122807018,962260672.2530012,31020.326759288033,2.294988304093574e+16,0.7207855857753439
Ann Arbor Speed,LSTM,8008.3037109375,75096468.65273683,8665.82186827867,6468240071614596.0,0.18909051283454228
Ann Arbor Speed,Naive,3898.3333333333335,45591008.333333336,6752.111398172674,33.33333333333305,1.0
Austin Cruisers,AutoARIMA,11107.397660818713,127568312.41151123,11294.614309993556,3864064327485485.0,0.6429847254131181
Austin Cruisers,LSTM,4733.027262369792,29633417.135866504,5443.658433063789,722292236328173.8,0.27398534990808343
Austin Cruisers,Naive,15553.333333333334,364565933.3333333,19093.609751257965,8310000000000227.0,1.0
Cincinnati Speed,AutoARIMA,61094.12280701755,6292908805.609417,79327.85642893307,9874122807017654.0,1.269392146617658
Cincinnati Speed,LSTM,57934.009114583336,7300268146.952781,85441.60665011386,7451916015625052.0,1.2037324183281448
Cincinnati Speed,Naive,56853.333333333336,8783684866.666666,93721.31490043589,66.66666666666626,1.0
Columbus Race Equipment,AutoARIMA,83968.30078599899,9553056125.950083,97739.73667833407,8197917350198669.0,2.310188413162199
Columbus Race Equipment,LSTM,79497.6328125,8820809780.742006,93919.1662055302,7638523437500053.0,2.1871885994849545
Columbus Race Equipment,Naive,88726.66666666667,12676235816.666666,112588.79081270332,66.66666666666661,1.0
Dallas Cycles,AutoARIMA,11643.508771929826,135739496.5220068,11650.729441627542,7955672514620308.0,0.5434392715379672
Dallas Cycles,LSTM,10772.7119140625,121096064.76018874,11004.365713669677,8222817057291959.0,0.5027964361722378
Dallas Cycles,Naive,580.0,504600.0,710.3520254071217,580000000000000.0,1.0
Denver Bike Shop,AutoARIMA,89902.69005847954,9013978318.05171,94941.97342614966,4.36226900584796e+16,0.7395746138407333
